ticker,date,avg_daily_sentiment
PFE,2025-07-22,0.67
PFE,2025-07-23,0.788
PFE,2025-07-24,0.154
PFE,2025-07-25,0.674
PFE,2025-07-26,0.777
PFE,2025-07-27,0.926
PFE,2025-07-28,0.375
PG,2025-07-27,0.277
PG,2025-07-28,0.229
PYPL,2025-07-16,0.783
PYPL,2025-07-17,0.848
PYPL,2025-07-18,0.0
PYPL,2025-07-21,0.527
PYPL,2025-07-22,0.499
PYPL,2025-07-23,0.266
PYPL,2025-07-24,0.342
PYPL,2025-07-25,-0.296
PYPL,2025-07-27,0.335
QCOM,2025-07-22,0.414
QCOM,2025-07-23,0.85
QCOM,2025-07-24,-0.084
QCOM,2025-07-25,0.401
QCOM,2025-07-26,0.664
QCOM,2025-07-27,0.363
QCOM,2025-07-28,0.787
RIVN,2025-07-18,0.527
RIVN,2025-07-19,-0.34
RIVN,2025-07-20,0.751
RIVN,2025-07-21,0.393
RIVN,2025-07-22,0.626
RIVN,2025-07-23,0.4
RIVN,2025-07-24,0.772
RIVN,2025-07-25,0.511
RIVN,2025-07-26,0.516
RIVN,2025-07-27,0.737
SLB,2025-07-21,-0.146
SLB,2025-07-22,0.123
SLB,2025-07-23,0.62
SLB,2025-07-24,0.52
SLB,2025-07-25,0.799
SONY,2025-07-28,0.225
TGT,2025-07-15,0.61
TGT,2025-07-16,0.772
TGT,2025-07-18,0.751
TGT,2025-07-21,0.353
TGT,2025-07-22,0.44
TGT,2025-07-23,0.135
TGT,2025-07-24,0.075
TGT,2025-07-27,-0.774
TSLA,2025-07-27,0.09
TSLA,2025-07-28,0.36
USB,2025-07-28,0.472
V,2025-07-28,0.308
WBD,2025-07-23,0.385
WBD,2025-07-24,0.343
WBD,2025-07-25,0.241
WBD,2025-07-26,0.32
WBD,2025-07-28,0.191
WFC,2025-07-16,0.206
WFC,2025-07-18,0.519
WFC,2025-07-20,0.756
WFC,2025-07-21,0.459
WFC,2025-07-22,0.772
WFC,2025-07-24,0.449
WFC,2025-07-25,0.586
WFC,2025-07-26,0.813
WFC,2025-07-28,0.361
WMT,2025-07-19,0.0
WMT,2025-07-20,0.374
WMT,2025-07-22,0.67
WMT,2025-07-23,0.403
WMT,2025-07-24,0.585
WMT,2025-07-25,0.605
WMT,2025-07-26,0.459
WMT,2025-07-27,0.0
WMT,2025-07-28,0.026
XOM,2025-07-19,0.772
XOM,2025-07-20,0.325
XOM,2025-07-21,0.601
XOM,2025-07-22,0.67
XOM,2025-07-23,0.711
XOM,2025-07-24,0.772
XOM,2025-07-25,0.452
XOM,2025-07-27,0.338
XOM,2025-07-28,0.402
